19810101
-0.13,-4.27
-1.26,-4.80
-1.54,-5.41
0.56,-4.43
0.02,-4.28
-0.54,-4.52
-0.56,-4.84
-1.70,-5.23
-0.80,-4.58
0.66,-3.67
-0.24,-4.76
-1.32,-4.58
-0.50,-4.94
-0.32,-5.08
0.14,-3.88
0.90,-3.30
1.61,-2.10
1.63,-3.01
1.28,-3.41
2.10,-1.86
4.06,-0.78
3.55,-2.30
0.95,-3.15
-0.60,-5.81
-1.94,-7.68
-0.56,-6.94
1.02,-6.16
1.29,-1.74
1.27,-3.85
-0.61,-5.05
-1.44,-6.06
-1.27,-5.65
-1.21,-6.17
0.10,-4.78
0.02,-4.95
2.60,-4.04
5.39,-2.87
6.14,-1.91
6.20,-1.93
2.95,-3.34
2.81,-0.63
1.05,-2.94
0.85,-7.07
0.13,-9.58
0.50,-6.69
6.53,-1.63
8.89,-0.10
11.03,-0.52
5.03,1.66
9.39,1.04
3.37,0.53
4.20,0.65
1.63,-2.67
0.57,-3.25
-0.38,-3.82
1.56,-6.10
2.77,-6.62
5.58,-3.72
6.03,-3.84
1.34,-3.09
5.73,-0.75
9.56,0.08
14.11,-0.52
14.33,3.46
11.41,5.30
9.62,4.65
18.36,2.92
15.51,6.26
10.84,3.60
11.44,3.70
7.34,0.71
5.05,-0.63
8.91,3.75
4.06,2.30
8.21,1.80
7.11,1.40
9.60,4.51
17.74,4.60
14.60,7.48
12.21,7.14
13.27,4.09
13.37,4.88
18.77,2.31
20.51,9.25
12.42,6.42
17.34,4.03
21.99,7.99
16.47,9.39
20.40,8.36
13.07,5.20
9.34,4.59
4.63,3.09
8.18,1.15
9.54,0.70
12.11,2.61
14.46,8.22
19.78,6.13
22.21,6.47
23.13,8.66
23.80,9.47
23.98,10.42
24.48,10.42
24.30,10.93
14.62,10.52
17.55,7.24
11.04,6.40
13.64,6.13
16.90,4.04
9.38,7.19
10.11,7.55
8.18,6.45
12.12,5.75
8.82,4.40
9.31,2.82
14.24,0.89
16.00,2.51
16.11,2.08
15.79,3.11
11.64,4.12
17.77,4.89
19.17,6.15
20.60,7.90
17.96,8.18
14.98,4.37
13.84,2.10
14.75,3.02
15.39,1.78
16.36,2.42
18.44,2.42
11.50,7.56
21.26,6.45
25.13,8.62
26.76,11.51
26.65,12.37
25.63,13.58
23.29,11.92
23.43,10.70
21.18,11.57
22.23,12.35
25.10,12.16
24.14,11.36
22.92,11.71
25.13,10.42
27.72,13.13
19.28,11.77
21.82,11.75
24.49,12.35
29.02,12.57
30.98,14.54
30.48,16.47
30.55,17.58
31.78,17.81
33.49,18.52
30.24,18.45
23.67,15.91
26.35,14.29
30.80,15.87
32.99,17.36
32.10,18.67
31.20,17.64
30.16,18.08
26.61,17.57
24.66,17.14
27.22,15.48
22.15,12.93
23.04,11.46
21.84,12.56
29.62,13.96
33.98,16.79
34.37,19.19
31.59,19.68
31.50,19.27
31.75,19.35
29.45,20.56
29.43,19.40
22.11,16.64
27.79,14.87
29.02,17.48
29.73,17.11
29.97,17.54
31.20,18.64
27.88,18.35
28.34,17.43
27.24,17.59
26.39,16.71
23.82,15.58
