Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2043,3,2,3,2,10,9,12,23,10,2,4,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,
2044,2,5,1,1,2,5,1,1,1,2,11,2.0,3.0,3.0,17.0,27.0,11.0,3.0,1.0,1.0,5.0,,,,,,,,
2045,6,7,3,2,7,5,1,3,1,3,6,9.0,26.0,1.0,1.0,4.0,,,,,,,,,,,,,
2046,6,1,2,4,5,2,2,6,12,1,5,2.0,8.0,28.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
2047,1,11,2,1,1,1,4,12,3,37,1,8.0,7.0,1.0,,,,,,,,,,,,,,,
2048,2,1,1,1,5,2,2,2,9,1,18,12.0,7.0,16.0,1.0,1.0,4.0,3.0,,,,,,,,,,,
2049,2,1,3,1,1,41,10,11,1,5,1,,,,,,,,,,,,,,,,,,
2050,1,1,24,4,2,36,6,3,2,8,18,13.0,2.0,2.0,,,,,,,,,,,,,,,
2051,9,11,1,4,1,1,33,5,5,2,4,3.0,5.0,2.0,1.0,3.0,,,,,,,,,,,,,
2052,2,2,1,1,4,1,1,2,6,5,17,1.0,3.0,2.0,5.0,6.0,4.0,3.0,1.0,,,,,,,,,,
2053,1,1,1,1,2,11,1,6,4,1,1,1.0,6.0,21.0,1.0,20.0,2.0,7.0,6.0,10.0,3.0,4.0,6.0,,,,,,
2054,1,1,5,4,1,1,15,1,2,1,1,1.0,1.0,2.0,18.0,1.0,4.0,1.0,4.0,2.0,8.0,1.0,2.0,1.0,,,,,
2055,2,2,1,2,18,2,13,3,1,6,11,2.0,,,,,,,,,,,,,,,,,
2056,10,5,4,4,2,3,2,1,4,5,4,1.0,5.0,32.0,2.0,6.0,4.0,1.0,13.0,1.0,1.0,1.0,1.0,,,,,,
2057,8,1,2,3,3,1,7,2,3,6,13,1.0,6.0,1.0,2.0,11.0,2.0,5.0,1.0,2.0,,,,,,,,,
2058,2,12,1,1,2,9,12,4,5,1,6,36.0,1.0,10.0,1.0,,,,,,,,,,,,,,
2059,2,1,7,1,9,9,7,3,16,13,1,1.0,2.0,6.0,1.0,2.0,7.0,1.0,4.0,5.0,4.0,3.0,,,,,,,
2060,1,4,1,4,1,9,1,7,3,2,5,1.0,2.0,2.0,7.0,17.0,2.0,11.0,3.0,3.0,5.0,3.0,1.0,,,,,,
2061,1,9,4,1,1,3,1,31,3,2,14,25.0,6.0,3.0,1.0,6.0,1.0,,,,,,,,,,,,
2062,3,2,1,4,10,16,15,6,2,1,16,2.0,1.0,,,,,,,,,,,,,,,,
2063,2,3,2,2,3,13,1,10,21,9,12,18.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,,,,,,,,,
2064,1,3,1,1,33,26,4,6,1,6,2,4.0,2.0,1.0,,,,,,,,,,,,,,,
2065,1,2,10,3,1,1,5,1,14,4,38,13.0,5.0,14.0,3.0,1.0,7.0,,,,,,,,,,,,
2066,4,1,11,19,18,2,2,4,8,23,2,6.0,4.0,4.0,2.0,,,,,,,,,,,,,,
2067,1,3,3,26,4,8,5,1,12,4,1,9.0,1.0,,,,,,,,,,,,,,,,
2068,4,2,2,1,3,5,1,29,2,1,29,11.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
2069,4,2,6,4,2,1,2,1,1,1,5,15.0,1.0,8.0,14.0,3.0,6.0,14.0,1.0,2.0,1.0,,,,,,,,
2070,2,1,3,1,7,15,27,29,3,6,2,1.0,3.0,,,,,,,,,,,,,,,,
2071,1,3,1,1,1,2,1,1,16,1,1,2.0,17.0,2.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,,,,,,
2072,2,1,2,5,3,4,2,5,1,7,1,3.0,5.0,1.0,1.0,10.0,7.0,3.0,8.0,5.0,5.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,2.0
2073,4,5,10,2,11,1,44,9,9,3,1,2.0,4.0,,,,,,,,,,,,,,,,
2074,2,5,1,3,1,20,2,39,1,5,4,4.0,,,,,,,,,,,,,,,,,
2075,1,1,3,6,14,9,1,12,2,20,3,1.0,1.0,1.0,,,,,,,,,,,,,,,
2076,1,1,3,3,40,1,1,2,2,4,8,4.0,18.0,3.0,6.0,9.0,2.0,5.0,3.0,,,,,,,,,,
2077,3,4,1,3,4,1,2,2,3,1,9,19.0,5.0,48.0,7.0,5.0,3.0,1.0,1.0,,,,,,,,,,
2078,7,2,1,3,1,10,3,7,1,9,1,14.0,1.0,1.0,29.0,1.0,,,,,,,,,,,,,
2079,7,3,5,1,3,20,2,3,1,4,3,1.0,2.0,14.0,4.0,4.0,1.0,1.0,,,,,,,,,,,
2080,4,2,6,1,4,2,3,1,2,20,1,9.0,16.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,,,,,,,,,
2081,1,2,2,6,1,9,1,2,5,2,1,4.0,25.0,4.0,6.0,13.0,15.0,6.0,,,,,,,,,,,
2082,1,1,1,5,3,1,2,1,1,4,42,7.0,1.0,3.0,2.0,15.0,2.0,,,,,,,,,,,,
2083,1,10,1,1,15,1,25,3,1,1,6,4.0,5.0,3.0,22.0,1.0,3.0,3.0,7.0,3.0,2.0,,,,,,,,
2084,2,8,2,1,1,1,1,1,14,8,1,1.0,15.0,6.0,1.0,2.0,2.0,13.0,6.0,6.0,,,,,,,,,
2085,9,2,1,2,1,4,2,17,11,2,25,1.0,7.0,6.0,10.0,4.0,2.0,,,,,,,,,,,,
2086,1,2,1,1,9,3,15,7,4,13,2,5.0,3.0,1.0,3.0,5.0,2.0,,,,,,,,,,,,
2087,6,1,5,1,9,21,3,1,16,5,1,1.0,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,
2088,2,1,4,2,1,1,8,2,1,7,2,1.0,1.0,1.0,14.0,7.0,2.0,6.0,36.0,3.0,15.0,1.0,1.0,,,,,,
2089,2,1,5,1,8,1,7,10,52,3,10,4.0,12.0,4.0,,,,,,,,,,,,,,,
2090,3,21,4,4,15,27,2,4,26,3,1,3.0,8.0,,,,,,,,,,,,,,,,
2091,3,1,14,6,18,1,10,35,6,5,24,,,,,,,,,,,,,,,,,,
2092,2,7,1,2,2,2,1,3,6,1,1,2.0,3.0,2.0,2.0,3.0,21.0,2.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,,,
2093,1,1,1,4,14,8,2,1,7,1,21,6.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,,,,,,,,,,
2094,1,1,1,4,1,2,4,1,4,4,1,3.0,2.0,1.0,2.0,18.0,4.0,4.0,4.0,9.0,5.0,2.0,2.0,,,,,,
2095,1,4,1,2,1,1,1,1,18,30,3,7.0,16.0,17.0,4.0,2.0,4.0,,,,,,,,,,,,
2096,1,2,1,4,2,14,5,9,1,13,1,4.0,4.0,18.0,6.0,25.0,3.0,,,,,,,,,,,,
2097,2,3,2,1,14,9,1,35,26,1,1,8.0,3.0,,,,,,,,,,,,,,,,
2098,1,3,2,8,5,6,8,1,7,6,1,1.0,2.0,3.0,2.0,4.0,12.0,4.0,5.0,2.0,3.0,,,,,,,,
